osmid,latitude,longitude
9276534618,42.3467625,-71.0646266
61501279,42.3534705,-71.0613342
2996367307,42.3471494,-71.0619223
353931264,42.3502956,-71.0596067
527724547,42.347243,-71.0605559
61501656,42.3525636,-71.0606675
61362409,42.3483117,-71.063269
61362413,42.3481999,-71.0625884
61362415,42.3476185,-71.0634839
61362422,42.3479681,-71.0633758
8718047543,42.3515513,-71.0633499
61354252,42.3523286,-71.064141
61354253,42.3523201,-71.0639047
61354255,42.3523923,-71.0625912
61354256,42.3525073,-71.0613912
61354257,42.3519161,-71.0627194
61395229,42.3523093,-71.0634952
61501739,42.3513077,-71.0602954
1159803209,42.3490281,-71.0640288
7995544011,42.347562,-71.0633877
7995544012,42.347541,-71.0634164
7995544013,42.3472957,-71.063501
7995544016,42.347548,-71.0634068
2931962578,42.3519475,-71.0586806
7620743967,42.3523163,-71.0637652
61444915,42.347793,-71.0596361
61494113,42.3473019,-71.0629409
61379441,42.3479637,-71.0737514
4750922721,42.3472845,-71.0644894
61445102,42.3441847,-71.0616515
61486139,42.347268,-71.062884
1830597759,42.3522924,-71.0645773
4260967552,42.3526648,-71.0644722
1830597764,42.3524676,-71.0645293
61445288,42.3522578,-71.0582798
61371587,42.3489205,-71.063424
7755494646,42.3525128,-71.0613104
6866343358,42.3525626,-71.0599766
61584989,42.3508029,-71.0622173
61585008,42.3508289,-71.062327
61355687,42.3516659,-71.0642707
61363891,42.35257,-71.0601407
5736249070,42.3503211,-71.0634156
61503308,42.3492626,-71.0606572
7650883868,42.3489529,-71.0634578
7650883869,42.3489053,-71.0634736
61364147,42.3510969,-71.0660745
61519801,42.3519605,-71.0642123
11530958778,42.3489509,-71.0621983
7650883904,42.3473674,-71.0645516
7650883909,42.3473002,-71.0642776
7650883910,42.3474396,-71.0643518
3035699243,42.3528321,-71.064425
3035699247,42.3511991,-71.0648734
4071979089,42.3484216,-71.0640796
4071979090,42.3484393,-71.0643065
4071979091,42.3484993,-71.064058
4071979092,42.3485134,-71.0641674
4071979093,42.3490131,-71.0639199
4071979096,42.3494368,-71.0638998
4071979098,42.3494548,-71.0637594
4071979101,42.3497115,-71.063626
4071979103,42.3507855,-71.0630822
4071979104,42.3507942,-71.0631677
4071979102,42.3497459,-71.0637203
7732861086,42.3510753,-71.0592382
7732861087,42.3511771,-71.0593327
7732861106,42.3510202,-71.0593988
61405366,42.3472377,-71.0645937
7732861143,42.3516673,-71.0604366
7732861144,42.351379,-71.0603168
7732861151,42.3513996,-71.0621573
7732861153,42.3508609,-71.0615253
7732861158,42.3519946,-71.0611263
7732861161,42.3499828,-71.059069
7732861163,42.3498212,-71.0589955
7650883863,42.3484052,-71.0635592
7650883862,42.3486807,-71.0623937
7732861219,42.3476971,-71.0634596
7732861224,42.3479585,-71.0633326
7650883919,42.3471379,-71.062936
7650883918,42.3470364,-71.062864
7650883935,42.3481609,-71.0624206
7650883936,42.3482301,-71.0624916
7650883937,42.3481351,-71.0625303
7650883950,42.3494782,-71.0612113
7650883951,42.3495321,-71.0612477
7650883945,42.3497133,-71.0618136
7650883952,42.3494673,-71.0612735
7650883953,42.3495296,-71.0613225
7650883969,42.3506202,-71.0614521
7650883970,42.3507223,-71.0614855
7650883971,42.3505327,-71.0615589
7650883973,42.3506573,-71.0616048
6755678645,42.3487633,-71.0615535
61356470,42.3483588,-71.0635743
61356471,42.3484304,-71.0641878
10303183519,42.3497956,-71.0652934
4071897799,42.3489872,-71.0638006
61471576,42.3506366,-71.0615176
7650883920,42.3470788,-71.0630712
9468255241,42.350069,-71.063445
9468255242,42.3500932,-71.0635364
61340905,42.3525527,-71.0598047
61340937,42.3510876,-71.0649214
1013120283,42.3467425,-71.064527
1013120301,42.3472623,-71.0643865
1013120303,42.3464437,-71.0632146
7653489972,42.350212,-71.0634735
7653489975,42.3498267,-71.0636777
7653489977,42.35019,-71.0633837
7653489978,42.3500542,-71.0635571
61414757,42.3510471,-71.0591107
61341256,42.3514645,-71.0621419
61341258,42.3514798,-71.0611864
61505151,42.3486287,-71.0655366
61374176,42.3511005,-71.0593574
61554397,42.3494721,-71.0638745
11532566241,42.3489462,-71.0637773
11532566242,42.349013,-71.0637584
11532566243,42.3489137,-71.0635801
11532566244,42.3489799,-71.063562
61554439,42.348344,-71.064215
7650883959,42.3504522,-71.0608116
7650883960,42.3505553,-71.0608405
61374387,42.3517342,-71.0655281
7650883962,42.3503587,-71.0609187
61358016,42.3508405,-71.0614385
7650883963,42.3504871,-71.0609322
61358063,42.3509989,-71.0621209
61341689,42.3523719,-71.064556
