osmid,latitude,longitude
7870846631,42.3613929,-71.108563
7870846633,42.3612831,-71.1087866
7870846637,42.360799,-71.109333
7870846639,42.3603212,-71.109852
7870846634,42.3608782,-71.1090396
7870846635,42.3607313,-71.1092912
11748972205,42.3551457,-71.1101139
7870846638,42.3603745,-71.1095999
7870846640,42.359801,-71.110228
1038849724,42.3541789,-71.0793114
579049173,42.3628614,-71.0996953
575444717,42.3630359,-71.0944233
7884019453,42.3625621,-71.0991575
7884019458,42.3626196,-71.1007003
7884019459,42.3623405,-71.100123
7884019462,42.3624348,-71.1001565
7884019456,42.3621891,-71.1011788
7884019457,42.3622719,-71.1053838
5264316188,42.3531446,-71.0813208
8324159322,42.3603187,-71.0951589
7884019578,42.3628236,-71.1024693
7884019579,42.3628385,-71.1023916
7884019580,42.362904,-71.1023951
7884019581,42.3628978,-71.1024894
7884019586,42.3622885,-71.1029751
7884019587,42.3623776,-71.1028957
7884019588,42.3623557,-71.1029852
7884019589,42.3616749,-71.103605
2691995531,42.3562329,-71.1037969
7884019603,42.3623171,-71.1076547
7884019599,42.3616534,-71.1060734
7884019600,42.362416,-71.1073559
7884019601,42.3623128,-71.1075505
3620902830,42.3631436,-71.083948
8519179718,42.3627212,-71.090198
8519179722,42.362631,-71.0900013
2691995745,42.3602751,-71.0956843
12258253116,42.3519349,-71.0900202
7732632005,42.3545032,-71.0802808
4039154194,42.3623751,-71.0904311
7504992829,42.3535638,-71.0815174
4804188849,42.3535489,-71.1047361
4804188851,42.3535855,-71.1044929
7882742568,42.3571206,-71.1095475
61283119,42.3559021,-71.1095705
61283126,42.356645,-71.1087939
7887231878,42.3571991,-71.0951839
61283218,42.3559928,-71.1033176
12300622788,42.3536989,-71.0908855
61283269,42.3601506,-71.0948847
12300622787,42.3527269,-71.0904087
61283287,42.3559879,-71.1120124
61283293,42.3561039,-71.0965487
61283311,42.35663,-71.0968722
61283315,42.356868,-71.109219
1052777483,42.3626521,-71.084407
7866981387,42.3627692,-71.0920105
61283350,42.3628543,-71.0920014
1052777499,42.3627123,-71.0845124
7866981406,42.3600704,-71.0947578
7866981409,42.3602432,-71.0950358
61283361,42.3624439,-71.0881896
61283366,42.3628055,-71.0913494
61283373,42.3623407,-71.0851597
61283385,42.3625051,-71.0870803
7866981432,42.3618824,-71.093775
7866981442,42.3619811,-71.0938171
9072007516,42.3551458,-71.1016101
1678319187,42.3624313,-71.0861473
7163354738,42.3599114,-71.1045014
7163354739,42.3604027,-71.1039644
61349570,42.3521068,-71.0874689
7899258802,42.3564235,-71.1070313
4248838232,42.3626322,-71.0842092
